epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6049,0.82472,2.0519,3.37567,1.12225,0.04371,0.2,0.09831,0.0798,0.04485,0.2,0.09751,0.06334,0.51553,1.13241,3.09864,0.92338,1.429e-05,1.429e-05,1.429e-05
2,18.164,0.78839,1.88537,3.38144,1.1086,0.04119,0.2,0.08425,0.06797,0.04119,0.2,0.08359,0.05664,0.51692,1.1568,3.10174,0.92722,4.21626e-05,4.21626e-05,4.21626e-05
3,21.8229,0.86317,2.05223,3.50384,1.15478,0.78663,0.26667,0.27098,0.24955,0.78663,0.26667,0.26938,0.21488,0.43347,0.9188,2.39889,0.86787,6.90921e-05,6.90921e-05,6.90921e-05
4,25.0725,0.67253,1.707,2.18293,1.04174,0.54385,0.92771,0.94,0.87162,0.54385,0.92771,0.94,0.76873,0.46862,0.96166,2.57446,0.86624,9.50785e-05,9.50785e-05,9.50785e-05
5,28.2273,0.55801,1.2887,1.31495,0.97335,0.5909,1,0.94,0.83952,0.5909,1,0.94,0.78079,0.5261,0.92292,2.91873,0.87845,0.000120122,0.000120122,0.000120122
6,30.4768,0.49569,1.05779,1.13212,0.91427,0.68883,0.8889,0.94,0.83703,0.68883,0.8889,0.94,0.76821,0.54544,0.93431,2.00539,0.85891,0.000144222,0.000144222,0.000144222
7,33.7613,0.53787,1.12626,1.06114,0.90955,0.97703,0.85951,0.951,0.87825,0.97703,0.85951,0.951,0.81625,0.43915,0.8056,0.84959,0.80074,0.000167379,0.000167379,0.000167379
8,36.8215,0.46714,1.00841,0.8843,0.89927,0.81296,1,0.9675,0.90877,0.81296,1,0.9675,0.78467,0.38969,0.86509,0.69513,0.77801,0.000189593,0.000189593,0.000189593
9,39.3689,0.52262,1.00689,0.76254,0.87452,0.8298,1,0.9675,0.89419,0.8298,1,0.9675,0.78427,0.42763,0.83712,0.816,0.79063,0.000210863,0.000210863,0.000210863
10,41.5438,0.52264,0.97697,0.74243,0.87439,0.92436,1,0.995,0.8819,0.92436,1,0.995,0.82548,0.54357,0.90664,0.85751,0.8242,0.000231191,0.000231191,0.000231191
